BearID,Capture Date,Popn,Sex,AgeClass,Mating,Denning,den_method,Lat,Long,NoCubs,CubAge,Urea Nitrogen,Creatinine
21015,2012-04-07,SB,F,A,no,no,older cubs,70.3986,-143.6401,2,C1,6.00,1.15
20442,2012-04-11,SB,F,A,unknown,no,older cubs,70.4101,-143.5282,2,C2,35.00,0.85
21296,2012-04-11,SB,F,A,no,no,older cubs,70.4143,-143.5357,2,C1,24.00,1.00
21313,2012-04-15,SB,F,A,no,no,older cubs,70.0336,-142.4398,2,C1,4.50,1.05
32364,2012-04-26,SB,F,A,no,no,older cubs,70.6296,-147.5455,2,C1,22.50,1.15
21548,2013-03-21,CS,F,A,unknown,no,older cubs,67.32,-164.93,2,C2,20.50,0.65
21333,2013-03-29,SB,F,A,no,no,older cubs,71.5968,-154.9243,2,C1,7.50,1.25
20201,2013-04-04,SB,F,A,no,no,older cubs,70.4884,-147.9716,2,c2,12.00,0.95
21567,2013-04-11,CS,F,A,no,no,older cubs,67.8725,-166.5034,2,C1,7.00,0.95
21194,2015-04-01,CS,F,A,no,no,older cubs,67.2399,-164.661,2,C2,23.50,1.05
21627,2015-04-15,CS,F,A,no,no,older cubs,67.7666,-166.288,2,C1,16.50,1.10
21630,2015-04-16,CS,F,S ,no,no,older cubs,67.1572,-165.6446,2,C1,35.50,1.15
21649,2016-03-22,CS,f,A,yes,no,older cubs,66.9192,-166.6645,2,C2,10.00,0.90
21509,2016-03-28,CS,f,S ,yes,no,older cubs,67.2679,-167.7453,2,C2,4.00,0.95
21627,2016-03-30,CS,f,A,no,no,older cubs,66.5936,-167.7258,2,C2,13.50,1.10
21662,2016-04-05,CS,f,A,no,no,older cubs,67.8209,-167.1943,2,C1,36.00,1.05
21666,2016-04-07,CS,F,A,no,no,older cubs,67.2601,-166.1235,2,C1,12.50,0.85
21670,2016-04-08,CS,f,A,no,no,older cubs,67.4838,-167.6558,2,C1,2.50,0.80
21673,2016-04-09,CS,F,A,no,no,older cubs,67.1089,-166.0737,2,C2,36.50,0.60
21678,2016-04-12,CS,f,A,yes,no,older cubs,66.5289,-167.5197,2,C2,25.00,0.80
21685,2016-04-14,CS,F,A,no,no,older cubs,67.291,-166.4001,2,C1,25.50,0.90
20480,2016-04-17,SB,F,A,no,no,older cubs,70.7446,-149.3706,2,c1,8.00,0.75
697,1987-04-06,SB,F,A,unknown,no,temp,69.4,-136.6,2,C2,7.00,0.80
6375,1989-04-08,SB,F,A,no,yes,temp,69.9667,-138.2667,2,C0,4.50,1.05
6881,1991-03-04,CS,F,A,no,no,temp,64.23,-169.14,2,C1,7.00,1.20
6950,1993-03-01,CS,F,A,no,no,temp,67.16,-168.43,2,C1,3.50,1.40
21197,2011-03-15,CS,F,A,unknown,no,temp,67.7147,-166.4682,2,C2,10.00,1.15
21194,2011-03-16,CS,F,A,unknown,no,temp,66.6702,-165.145,2,C2,7.00,2.75
21190,2011-04-13,CS,F,A,unknown,no,temp,67.0933,-165.3439,2,C2,43.00,1.05
6204,1984-04-08,SB,F,A,no,yes,visual,70.1833,-142.4833,2,C0,18.67,0.63
